word,method,failed,coverage,mean_dist_to_white,self_sim
acorn,rembg_u2net,False,0.1799888888888889,0.09964637458324432,0.874422
album,rembg_u2net,False,0.47228888888888887,0.18755120038986206,0.844007
almond,rembg_u2net,False,0.7359888888888889,0.21962487697601318,0.853906
aloe,rembg_u2net,False,0.3426666666666667,0.17409995198249817,0.930566
amber,rembg_u2net,False,0.6571444444444444,0.49926862120628357,0.942342
amplifier,rembg_u2net,False,0.21788888888888888,0.10455886274576187,0.735771
anklet,FALLBACK_ORIGINAL,True,0.9999888888888889,0.5466302633285522,1.000000
anteater,rembg_u2net,False,0.3037666666666667,0.19046200811862946,0.812335
antelope,rembg_u2net,False,0.1556,0.07309909164905548,0.883787
antenna,rembg_u2net,False,0.07007777777777778,0.05001206696033478,0.757802
anvil,rembg_u2net,False,0.4116111111111111,0.22402428090572357,0.893368
apron,rembg_u2net,False,0.6577666666666667,0.3450395464897156,0.941989
aquarium,rembg_u2net,False,0.44075555555555557,0.23988395929336548,0.917444
arm,rembg_u2net,False,0.13684444444444444,0.06709061563014984,0.805076
artichoke,rembg_u2net,False,0.3360111111111111,0.23335577547550201,0.898396
asparagus,rembg_u2net,False,0.7638222222222222,0.4555520713329315,0.956039
avocado,rembg_u2net,False,0.3538,0.19809658825397491,0.952143
backdrop,rembg_u2net,False,0.49903333333333333,0.13735342025756836,0.829245
backgammon,rembg_u2net,False,0.0695111111111111,0.029079511761665344,0.737697
backscratcher,rembg_u2net,False,0.08578888888888889,0.031242821365594864,0.749880
bagpipe,rembg_u2net,False,0.2600777777777778,0.15866951644420624,0.856691
bamboo,rembg_u2net,False,0.17427777777777778,0.08181913942098618,0.651903
bandanna,rembg_u2net,False,0.1405,0.08801072835922241,0.681826
banner,rembg_u2net,False,0.5498777777777778,0.12032853811979294,0.783026
barrel,rembg_u2net,False,0.3619777777777778,0.25450897216796875,0.812575
baseball,rembg_u2net,False,0.1207,0.0396471843123436,0.873671
basil,rembg_u2net,False,0.20495555555555556,0.09907867014408112,0.829255
basket,rembg_u2net,False,0.3912777777777778,0.11487971991300583,0.717010
