iter,model,orig_R2c,iso_R2c,orig_r,iso_r
1,phonological,0.06301282317238853,0.06301282317238853,0.25851519194935085,0.25851519194935085
1,semantic (txt-txt),0.17644000378350722,0.17644000378350722,0.43633688228475354,0.43633688228475354
1,visual (img-img),0.15243196778828974,0.1384336665633985,0.3797573310251482,0.3210952348509196
1,multimodal (img-txt),0.19639161345153833,0.1866462586747493,0.4232850476374311,0.38903486635927664
1,semantic residual,0.06156533557917033,0.07272258032116229,0.2514122127644085,0.3113078746769648
1,all predictors,0.24380391346468644,0.24226530056921142,0.4956172626299246,0.4835259777463544
2,phonological,0.06935974866437537,0.06935974866437537,0.20638819899232538,0.20638819899232538
2,semantic (txt-txt),0.18354188343752376,0.18354188343752376,0.41536875521896355,0.41536875521896355
2,visual (img-img),0.15408553066310068,0.1625052743248835,0.35872535160233715,0.3456808477343765
2,multimodal (img-txt),0.20260064731526142,0.18395806623440286,0.3978402332906222,0.37935335216253974
2,semantic residual,0.06087040186020537,0.07788905631999254,0.25347743632965986,0.26923680098824715
2,all predictors,0.24357767187370874,0.24644065439366467,0.4644813768491989,0.4687830387983382
3,phonological,0.06528926104526304,0.06528926104526304,0.2357417017615941,0.2357417017615941
3,semantic (txt-txt),0.18767559501877848,0.18767559501877848,0.4327041862444524,0.4327041862444524
3,visual (img-img),0.15997461673275148,0.1516431571923077,0.387446389645559,0.3589706166369839
3,multimodal (img-txt),0.20444761611357404,0.18039997189590043,0.42544947967607327,0.4012211838163742
3,semantic residual,0.06154339216030241,0.0760315080207078,0.2517024231939265,0.285530508720557
3,all predictors,0.2547467668298752,0.24970154937218028,0.4986679641493352,0.49424437625614565
4,phonological,0.06645795431732313,0.06645795431732313,0.230015257141372,0.230015257141372
4,semantic (txt-txt),0.18830755013665954,0.18830755013665954,0.42234408259546674,0.42234408259546674
4,visual (img-img),0.16153123615454304,0.14675228752289124,0.36209983229087433,0.3410142312907159
