targetWord,trial,option,answerWord,img_idx,tgt_idx,sim_img_img,sim_img_txt,sim_txt_txt,wordPairing,AoA_Est_Word2,AoA_Est_Word1,AoA_Bin,AoA_Bin_Name,phon_sim,log_freq_target_word,superordinate_category_target_word,concreteness_target_word,log_freq_answer_word,superordinate_category_answer_word,concreteness_answer_word,mean_typicality
acorn,1,image2,coconut,2,1,0.77001953125,0.26806640625,0.84033203125,hard,6.5,5.95,1,Easy Words,0.125,3.6375861597263857,NA,4.96,5.459585514144159,"food, fruit",4.79,NA
acorn,1,image3,key,3,1,0.6103515625,0.179443359375,0.759765625,easy,3.58,5.95,1,Easy Words,0.16666666666666663,3.6375861597263857,NA,4.96,8.39638057119949,NA,4.89,NA
acorn,1,image4,clothesline,4,1,0.493408203125,0.158935546875,0.6005859375,distal,6.67,5.95,1,Easy Words,0.09999999999999998,3.6375861597263857,NA,4.96,3.091042453358316,NA,4.86,NA
aloe,2,image2,cactus,6,5,0.8095703125,0.27490234375,0.77880859375,hard,6.72,8.95,3,Difficult Words,0.16666666666666663,2.772588722239781,plant,4.83,5.003946305945459,plant,5,0.423015873
aloe,2,image3,bracket,7,5,0.59521484375,0.169921875,0.60986328125,easy,8.56,8.95,3,Difficult Words,0.16666666666666663,2.772588722239781,plant,4.83,3.4965075614664802,NA,4.43,0.423015873
aloe,2,image4,banner,8,5,0.35009765625,0.1435546875,0.53173828125,distal,9.17,8.95,3,Difficult Words,0.19999999999999996,2.772588722239781,plant,4.83,5.713732805509369,NA,4.8,0.423015873
antenna,3,image2,stem,10,9,0.61767578125,0.1939697265625,0.84521484375,hard,7.26,7.05,2,Harder Words,0.33333333333333337,4.812184355372417,NA,4.75,4.74493212836325,NA,4.63,NA
antenna,3,image3,pinecone,11,9,0.60009765625,0.203857421875,0.7353515625,easy,4.61,7.05,2,Harder Words,0,4.812184355372417,NA,4.75,2.6390573296152584,home decor,4.85,NA
antenna,3,image4,backgammon,12,9,0.517578125,0.191162109375,0.65771484375,distal,10,7.05,2,Harder Words,0.25,4.812184355372417,NA,4.75,3.6375861597263857,NA,4.47,NA
artichoke,4,image2,leek,14,13,0.69189453125,0.255126953125,0.75537109375,hard,11,10,3,Difficult Words,0.11111111111111116,3.367295829986474,"plant, food, vegetable",4.63,2.772588722239781,"plant, food, vegetable",4.92,0.299681153
artichoke,4,image3,sunroof,15,13,0.490966796875,0.1903076171875,0.60888671875,easy,11.15,10,3,Difficult Words,0,3.367295829986474,"plant, food, vegetable",4.63,3.1354942159291497,part of car,4.68,0.299681153
artichoke,4,image4,cello,16,13,0.458251953125,0.1651611328125,0.55078125,distal,9.89,10,3,Difficult Words,0.2222222222222222,3.367295829986474,"plant, food, vegetable",4.63,4.564348191467836,musical instrument,4.96,0.299681153
bamboo,5,image2,lumber,18,17,0.7119140625,0.236572265625,0.83154296875,hard,7.33,9.28,3,Difficult Words,0.33333333333333337,4.394449154672439,plant,4.86,4.844187086458591,NA,4.56,0.385385005
bamboo,5,image3,yacht,19,17,0.52392578125,0.1695556640625,0.72216796875,easy,10.06,9.28,3,Difficult Words,0,4.394449154672439,plant,4.86,6.040254711277414,vehicle,4.97,0.385385005
bamboo,5,image4,apron,20,17,0.52783203125,0.191162109375,0.6015625,distal,6.75,9.28,3,Difficult Words,0,4.394449154672439,plant,4.86,4.919980925828125,clothing,4.87,0.385385005
barrel,6,image2,bucket,22,21,0.64990234375,0.2379150390625,0.87060546875,hard,5.61,7.72,2,Harder Words,0.19999999999999996,6.297109319933935,container,4.86,6.238324625039508,container,4.96,0.615079365
barrel,6,image3,shelf,23,21,0.57470703125,0.212158203125,0.82275390625,easy,5.5,7.72,2,Harder Words,0,6.297109319933935,container,4.86,5.87493073085203,furniture,4.96,0.615079365
barrel,6,image4,anteater,24,21,0.54638671875,0.2220458984375,0.66259765625,distal,8.5,7.72,2,Harder Words,0.1428571428571429,6.297109319933935,container,4.86,2.4849066497880004,animal,4.86,0.615079365
blender,7,image2,blind,26,25,0.54296875,0.2060546875,0.865234375,hard,7,6.84,2,Harder Words,0.4285714285714286,4.454347296253507,"electronic device, kitchen appliance",5,7.757051142032013,NA,4.03,0.5230824026666667
blender,7,image3,mailbox,27,25,0.5634765625,0.20068359375,0.7568359375,easy,6.11,6.84,2,Harder Words,0,4.454347296253507,"electronic device, kitchen appliance",5,5.3612921657094255,container,5,0.5230824026666667
blender,7,image4,trampoline,28,25,0.5791015625,0.1888427734375,0.62109375,distal,6.79,6.84,2,Harder Words,0.11111111111111116,4.454347296253507,"electronic device, kitchen appliance",5,3.5553480614894135,sports equipment,5,0.5230824026666667
blower,8,image2,burner,30,29,0.55029296875,0.2296142578125,0.9130859375,hard,8,8.32,3,Difficult Words,0.5,2.8903717578961645,"electronic device, tool",4.07,4.543294782270004,kitchen appliance,4.78,0.2850436026666667
blower,8,image3,buggy,31,29,0.55908203125,0.2218017578125,0.8291015625,easy,6.95,8.32,3,Difficult Words,0.16666666666666663,2.8903717578961645,"electronic device, tool",4.07,4.852030263919617,vehicle,4.18,0.2850436026666667
blower,8,image4,papaya,32,29,0.49658203125,0.164794921875,0.66064453125,distal,10.84,8.32,3,Difficult Words,0,2.8903717578961645,"electronic device, tool",4.07,4.04305126783455,"food, fruit",4.87,0.2850436026666667
bobsled,9,image2,sidecar,34,33,0.58984375,0.254638671875,0.78759765625,hard,9.78,9.38,3,Difficult Words,0,3.8918202981106265,sports equipment,4.9,3.4339872044851463,NA,4.82,0.177740864
bobsled,9,image3,dip,35,33,0.40283203125,0.182861328125,0.70361328125,easy,7,9.38,3,Difficult Words,0,3.8918202981106265,sports equipment,4.9,6.008813185442595,food,4.22,0.177740864
bobsled,9,image4,cilantro,36,33,0.429931640625,0.1666259765625,0.595703125,distal,12.27,9.38,3,Difficult Words,0,3.8918202981106265,sports equipment,4.9,3.2188758248682006,"plant, food, vegetable",4.45,0.177740864
bouquet,10,image2,centerpiece,38,37,0.599609375,0.202392578125,0.83203125,hard,8.89,8.72,3,Difficult Words,0,5.10594547390058,NA,4.74,3.4965075614664802,home decor,4.62,NA
bouquet,10,image3,bandanna,39,37,0.57080078125,0.1763916015625,0.68896484375,easy,8.59,8.72,3,Difficult Words,0.1428571428571429,5.10594547390058,NA,4.74,3.091042453358316,"clothing, clothing accessory",5,NA
bouquet,10,image4,submarine,40,37,0.423828125,0.1376953125,0.63232421875,distal,7.94,8.72,3,Difficult Words,0.11111111111111116,5.10594547390058,NA,4.74,5.8944028342648505,vehicle,4.8,NA
buffet,11,image2,counter,42,41,0.5673828125,0.214111328125,0.865234375,hard,7.11,7.58,2,Harder Words,0.1428571428571429,5.424950017481403,food,4.67,NA,furniture,4.17,0.291071429
buffet,11,image3,crib,43,41,0.447021484375,0.1834716796875,0.8095703125,easy,6.05,7.58,2,Harder Words,0.19999999999999996,5.424950017481403,food,4.67,5.75890177387728,furniture,4.86,0.291071429
buffet,11,image4,rhubarb,44,41,0.6025390625,0.2022705078125,0.64892578125,distal,10.53,7.58,2,Harder Words,0,5.424950017481403,food,4.67,4.02535169073515,"food, vegetable",4.86,0.291071429
bulldozer,12,image2,tractor,46,45,0.693359375,0.2158203125,0.84326171875,hard,5.5,5.61,1,Easy Words,0.2222222222222222,4.204692619390966,vehicle,4.9,5.25227342804663,vehicle,5,0.5441200724999999
bulldozer,12,image3,orange,47,45,0.494873046875,0.194091796875,0.67626953125,easy,3.26,5.61,1,Easy Words,0,4.204692619390966,vehicle,4.9,7.037905963447182,"food, fruit",4.66,0.5441200724999999
bulldozer,12,image4,eggplant,48,45,0.50146484375,0.1644287109375,0.6474609375,distal,8.3,5.61,1,Easy Words,0,4.204692619390966,vehicle,4.9,4.04305126783455,"food, vegetable",4.97,0.5441200724999999
cake,13,image2,dessert,50,49,0.7763671875,0.2081298828125,0.8994140625,hard,5.61,3.26,1,Easy Words,0,7.740229524763182,"food, dessert",4.81,6.573680166960646,"food, dessert",4.93,0.762308852
cake,13,image3,refrigerator,51,49,0.560546875,0.197998046875,0.78857421875,easy,4.11,3.26,1,Easy Words,0.1428571428571429,7.740229524763182,"food, dessert",4.81,6.059123195581797,"electronic device, kitchen appliance",5,0.762308852
cake,13,image4,battery,52,49,0.445068359375,0.16455078125,0.6708984375,distal,5.58,3.26,1,Easy Words,0,7.740229524763182,"food, dessert",4.81,6.452048954437226,NA,4.67,0.762308852
candlestick,14,image2,candle,54,53,0.61865234375,0.244384765625,0.85205078125,hard,5.37,5.61,1,Easy Words,0.6,3.258096538021482,home decor,4.93,6.016157159698354,home decor,4.86,0.612012987
candlestick,14,image3,egg,55,53,0.6787109375,0.189453125,0.67578125,easy,3.89,5.61,1,Easy Words,0,3.258096538021482,home decor,4.93,7.192182058713246,food,4.97,0.612012987
candlestick,14,image4,orangutan,56,53,0.52685546875,0.1685791015625,0.59375,distal,7.83,5.61,1,Easy Words,0.19999999999999996,3.258096538021482,home decor,4.93,3.4011973816621555,animal,4.81,0.612012987
caramel,15,image2,amber,58,57,0.67822265625,0.2459716796875,0.84619140625,hard,9.28,6.58,2,Harder Words,0.2857142857142857,4.1588830833596715,"food, dessert",4.73,6.161207321695077,NA,4.35,0.319948716
caramel,15,image3,olive,59,57,0.6279296875,0.165283203125,0.732421875,easy,6.68,6.58,2,Harder Words,0,4.1588830833596715,"food, dessert",4.73,5.929589143389895,food,4.9,0.319948716
caramel,15,image4,warthog,60,57,0.5615234375,0.181640625,0.595703125,distal,7.82,6.58,2,Harder Words,0.1428571428571429,4.1588830833596715,"food, dessert",4.73,2.833213344056216,animal,5,0.319948716
carousel,16,image2,carriage,62,61,0.68017578125,0.2249755859375,0.85107421875,hard,5.84,6.68,2,Harder Words,0.4285714285714286,4.30406509320417,NA,4.93,5.945420608606575,vehicle,4.86,NA
carousel,16,image3,dish,63,61,0.4814453125,0.171875,0.76123046875,easy,4.89,6.68,2,Harder Words,0,4.30406509320417,NA,4.93,6.371611847231857,NA,4.9,NA
carousel,16,image4,melon,64,61,0.50390625,0.150146484375,0.6376953125,distal,4.21,6.68,2,Harder Words,0.1428571428571429,4.30406509320417,NA,4.93,5.389071729816501,"food, fruit",4.78,NA
carrot,17,image2,vegetable,66,65,0.78759765625,0.22021484375,0.8798828125,hard,4.17,2.74,1,Easy Words,0.09999999999999998,5.278114659230517,"food, vegetable",5,5.676753802268282,"food, vegetable",4.89,0.716082686
carrot,17,image3,phone,67,65,0.4931640625,0.1920166015625,0.80712890625,easy,4.11,2.74,1,Easy Words,0,5.278114659230517,"food, vegetable",5,9.529303064460995,NA,4.86,0.716082686
carrot,17,image4,bathtub,68,65,0.53076171875,0.1630859375,0.6591796875,distal,3.22,2.74,1,Easy Words,0.16666666666666663,5.278114659230517,"food, vegetable",5,5.7430031878094825,container,4.92,0.716082686
cassette,18,image2,tape,70,69,0.64306640625,0.2222900390625,0.88037109375,hard,4.42,6.37,2,Harder Words,0,4.543294782270004,NA,4.6,8.163940954755008,office supply,4.9,NA
