target,image,word,ipa_word,ipa_target,lev_dist,max_len,phon_sim
acorn,image1,acorn,eɪkɔɹn,eɪkɔɹn,0,6,1
acorn,image2,coconut,koʊkənʌt,eɪkɔɹn,7,8,0.125
acorn,image3,key,ki,eɪkɔɹn,5,6,0.16666666666666663
acorn,image4,clothesline,kloʊðslaɪn,eɪkɔɹn,9,10,0.09999999999999998
aloe,image1,aloe,æloʊ,æloʊ,0,4,1
aloe,image2,cactus,kæktəs,æloʊ,5,6,0.16666666666666663
aloe,image3,bracket,bɹækɪt,æloʊ,5,6,0.16666666666666663
aloe,image4,banner,bænəɹ,æloʊ,4,5,0.19999999999999996
antenna,image1,antenna,æntɛnə,æntɛnə,0,6,1
antenna,image2,stem,stɛm,æntɛnə,4,6,0.33333333333333337
antenna,image3,pinecone,paɪŋkoʊn,æntɛnə,8,8,0
antenna,image4,backgammon,bækɡæmən,æntɛnə,6,8,0.25
artichoke,image1,artichoke,ɑɹɾɪtʃoʊk,ɑɹɾɪtʃoʊk,0,9,1
artichoke,image2,leek,lik,ɑɹɾɪtʃoʊk,8,9,0.11111111111111116
artichoke,image3,sunroof,sʌnɹuf,ɑɹɾɪtʃoʊk,9,9,0
artichoke,image4,cello,tʃɛloʊ,ɑɹɾɪtʃoʊk,7,9,0.2222222222222222
bamboo,image1,bamboo,bæmbu,bæmbu,0,5,1
bamboo,image2,lumber,lʌmbəɹ,bæmbu,4,6,0.33333333333333337
bamboo,image3,yacht,jɑt,bæmbu,5,5,0
bamboo,image4,apron,eɪpɹən,bæmbu,6,6,0
barrel,image1,barrel,bæɹəl,bæɹəl,0,5,1
barrel,image2,bucket,bʌkɪt,bæɹəl,4,5,0.19999999999999996
barrel,image3,shelf,ʃɛlf,bæɹəl,5,5,0
barrel,image4,anteater,æntiɾəɹ,bæɹəl,6,7,0.1428571428571429
blender,image1,blender,blɛndəɹ,blɛndəɹ,0,7,1
blender,image2,blind,blaɪnd,blɛndəɹ,4,7,0.4285714285714286
blender,image3,mailbox,meɪlbɑks,blɛndəɹ,8,8,0
blender,image4,trampoline,tɹæmpəlin,blɛndəɹ,8,9,0.11111111111111116
blower,image1,blower,bloʊəɹ,bloʊəɹ,0,6,1
blower,image2,burner,bɜnəɹ,bloʊəɹ,3,6,0.5
blower,image3,buggy,bʌɡi,bloʊəɹ,5,6,0.16666666666666663
blower,image4,papaya,pɐpaɪə,bloʊəɹ,6,6,0
bobsled,image1,bobsled,bɑbslɛd,bɑbslɛd,0,7,1
bobsled,image2,sidecar,saɪdkɑɹ,bɑbslɛd,7,7,0
bobsled,image3,dip,dɪp,bɑbslɛd,7,7,0
bobsled,image4,cilantro,sɪlæntɹoʊ,bɑbslɛd,9,9,0
bouquet,image1,bouquet,bukeɪ,bukeɪ,0,5,1
bouquet,image2,centerpiece,sɛntəɹpis,bukeɪ,9,9,0
bouquet,image3,bandanna,bændænə,bukeɪ,6,7,0.1428571428571429
bouquet,image4,submarine,sʌbməɹɹin,bukeɪ,8,9,0.11111111111111116
buffet,image1,buffet,bʌfɪt,bʌfɪt,0,5,1
buffet,image2,counter,kaʊntəɹ,bʌfɪt,6,7,0.1428571428571429
buffet,image3,crib,kɹɪb,bʌfɪt,4,5,0.19999999999999996
buffet,image4,rhubarb,ɹubɑɹb,bʌfɪt,6,6,0
bulldozer,image1,bulldozer,bʊldoʊzəɹ,bʊldoʊzəɹ,0,9,1
bulldozer,image2,tractor,tɹæktəɹ,bʊldoʊzəɹ,7,9,0.2222222222222222
bulldozer,image3,orange,ɔɹɪndʒ,bʊldoʊzəɹ,9,9,0
bulldozer,image4,eggplant,ɛɡplənt,bʊldoʊzəɹ,9,9,0
cake,image1,cake,keɪk,keɪk,0,4,1
cake,image2,dessert,dɪzɜt,keɪk,5,5,0
cake,image3,refrigerator,ɹᵻfɹɪdʒəɹɹeɪɾɚ,keɪk,12,14,0.1428571428571429
cake,image4,battery,bæɾəɹɹi,keɪk,7,7,0
candlestick,image1,candlestick,kændəlstɪk,kændəlstɪk,0,10,1
candlestick,image2,candle,kændəl,kændəlstɪk,4,10,0.6
candlestick,image3,egg,ɛɡ,kændəlstɪk,10,10,0
candlestick,image4,orangutan,ɔɹæŋɡətæn,kændəlstɪk,8,10,0.19999999999999996
caramel,image1,caramel,kæɹəməl,kæɹəməl,0,7,1
caramel,image2,amber,æmbəɹ,kæɹəməl,5,7,0.2857142857142857
