Word	uniqueID	work_time_mean	category	member	typicality_score	N_ratings
pug	pug	79181.81817999999	mammal	pug	0.490665584	44
piglet	piglet	65857.14285999999	mammal	piglet	0.455357143	42
chipmunk	chipmunk	73500.0	mammal	chipmunk	0.400595238	42
manatee	manatee	67431.81817999999	mammal	manatee	0.178977273	44
antelope	antelope	68586.95652	mammal	antelope	0.304347826	46
yak	yak	82744.18604999999	mammal	yak	0.145348837	43
warthog	warthog	75567.56757	mammal	warthog	0.14527027	37
rat	rat	73097.56098	mammal	rat	0.402439024	41
raccoon	raccoon	58468.08511	mammal	raccoon	0.536094225	47
hamster	hamster	64928.57143	mammal	hamster	0.517857143	42
orangutan	orangutan	77891.30435	mammal	orangutan	0.434782609	46
reindeer	reindeer	91295.45455	mammal	reindeer	0.344967532	44
panther	panther	79090.90909	mammal	panther	0.444128788	44
panda	panda	92066.66667	mammal	panda	0.51547619	45
chinchilla	chinchilla	61073.17073	mammal	chinchilla	0.12804878	41
aardvark	aardvark	65142.85714000001	mammal	aardvark	0.053571429	42
kangaroo	kangaroo	74945.94595	mammal	kangaroo	0.341216216	37
rabbit	rabbit	88065.21739	mammal	rabbit	0.663043478	46
elephant	elephant	82204.54544999999	mammal	elephant	0.604545455	44
camel	camel	81222.22222000001	mammal	camel	0.392460317	45
beaver	beaver	72395.34883999999	mammal	beaver	0.412790698	43
meerkat	meerkat	80523.80952	mammal	meerkat	0.133928571	42
hedgehog	hedgehog	64933.33333	mammal	hedgehog	0.274206349	45
gopher	gopher	68547.61905	mammal	gopher	0.291666667	42
mouse	mouse1	65088.88889000001	mammal	mouse (animal)	0.513888889	45
possum	possum	62813.95349	mammal	possum	0.372093023	43
anteater	anteater	61000.0	mammal	anteater	0.140625	40
mole	mole	78666.66666999999	mammal	mole	0.183730159	45
cat	cat	65604.65116000001	mammal	cat	0.800387597	43
puppy	puppy	70617.02128	mammal	puppy	0.779255319	47
tiger	tiger	61170.73171	mammal	tiger	0.643292683	41
koala	koala	78111.11111	mammal	koala	0.335555556	45
rhinoceros	rhinoceros	68270.83333000001	mammal	rhinoceros	0.294890873	48
alpaca	alpaca	57348.83721	mammal	alpaca	0.242109635	43
dog	dog	68837.2093	mammal	dog	0.839147287	43
moose	moose	67833.33333000001	mammal	moose	0.45	42
groundhog	groundhog	67478.26087	mammal	groundhog	0.33136646	46
chihuahua	chihuahua	63250.0	mammal	chihuahua	0.511363636	44
deer	deer	60536.58537	mammal	deer	0.683362369	41
leopard	leopard	66232.55814	mammal	leopard	0.472591362	43
zebra	zebra	81886.36364	mammal	zebra	0.563068182	44
boar	boar	65095.2381	mammal	boar	0.251984127	42
hippopotamus	hippopotamus	97613.63636	mammal	hippopotamus	0.375	44
platypus	platypus	75181.81817999999	mammal	platypus	0.142045455	44
dalmatian	dalmatian	89659.09091	mammal	dalmatian	0.450568182	44
pig	pig	82142.85714000001	mammal	pig	0.698554422	42
bear	bear	65410.25641	mammal	bear	0.737179487	39
coyote	coyote	69866.66667	mammal	coyote	0.517857143	45
otter	otter	95500.0	mammal	otter	0.286458333	48
cougar	cougar	75727.27273	mammal	cougar	0.358766234	44
donkey	donkey	74051.28205	mammal	donkey	0.547619048	39
bull	bull	104695.6522	mammal	bull	0.461024845	46
sloth	sloth	77355.55556	mammal	sloth	0.223412698	45
poodle	poodle	76166.66666999999	mammal	poodle	0.577380952	42
lion	lion	61065.21739	mammal	lion	0.705978261	46
gorilla	gorilla	72913.04348	mammal	gorilla	0.637681159	46
fox	fox	87850.0	mammal	fox	0.6075	40
badger	badger	64219.5122	mammal	badger	0.234756098	41
seal	seal	80952.38095	mammal	seal	0.330413832	42
pony	pony	64723.40426	mammal	pony	0.587765957	47
giraffe	giraffe	67222.22222000001	mammal	giraffe	0.59484127	45
ram	ram	59422.22222	mammal	ram	0.319444444	45
ferret	ferret	91125.0	mammal	ferret	0.322619048	40
bat	bat1	73500.0	mammal	bat (animal)	0.25212585	42
wolf	wolf	88022.22222	mammal	wolf	0.632142857	45
monkey	monkey	76704.54544999999	mammal	monkey	0.713068182	44
horse	horse	85577.77778	mammal	horse	0.75	45
polar bear	polar_bear	62767.44186	mammal	polar bear	0.541943522	43
walrus	walrus	72000.0	mammal	walrus	0.236572536	43
goat	goat	71222.22222000001	mammal	goat	0.608333333	45
llama	llama	66439.02439	mammal	llama	0.345818815	41
squirrel	squirrel	57952.38095	mammal	squirrel	0.56505102	42
cheetah	cheetah	64777.77778	mammal	cheetah	0.508597884	45
mongoose	mongoose	63195.12195	mammal	mongoose	0.1228223	41
bison	bison	68404.7619	mammal	bison	0.31335034	42
calf	calf1	66186.04651	mammal	calf (cattle)	0.58679402	43
kitten	kitten	57142.85714	mammal	kitten	0.7125	42
weasel	weasel	65818.18182000001	mammal	weasel	0.239448052	44
dolphin	dolphin	60133.33333	mammal	dolphin	0.438492063	45
hyena	hyena	88534.88372	mammal	hyena	0.227906977	43
lamb	lamb	57266.66667	mammal	lamb	0.560925926	45
whale	whale	75239.13043	mammal	whale	0.486413043	46
porcupine	porcupine	88256.41025999999	mammal	porcupine	0.233974359	39
sheep	sheep	61731.70732	mammal	sheep	0.601916376	41
cow	cow	73847.82609	mammal	cow	0.779503106	46
gazelle	gazelle	66543.47826	mammal	gazelle	0.288043478	46
guinea pig	guinea_pig	77921.05263	mammal	guinea pig	0.434210526	38
skunk	skunk	66622.22222	mammal	skunk	0.38468254	45
breadstick	breadstick	82452.38095	food	breadstick	0.556122449	42
batter	batter	71229.16666999999	food	batter	0.171130952	48
pita	pita	66825.0	food	pita	0.408928571	40
vegetable	vegetable	69104.16666999999	food	vegetable	0.668526786	48
sprouts	sprouts	80704.54544999999	food	sprouts	0.255681818	44
strawberry	strawberry	71297.87234	food	strawberry	0.672492401	47
avocado	avocado	83553.19149	food	avocado	0.556610942	47
granola	granola	89340.42553000001	food	granola	0.502152989	47
butter	butter	62733.33333	food	butter	0.443968254	45
green beans	green_beans	102409.0909	food	green beans	0.578409091	44
walnut	walnut	87418.60465000001	food	walnut	0.387873754	43
mango	mango	78177.77778	food	mango	0.473412698	45
kale	kale	72275.0	food	kale	0.35	40
soy sauce	soy_sauce	63795.45455	food	soy sauce	0.118371212	44
rabbit	rabbit	73270.83333000001	food	rabbit	0.059895833	48
toast	toast	64159.090910000006	food	toast	0.708928571	44
lettuce	lettuce	70181.81817999999	food	lettuce	0.575	44
sundae	sundae	80844.44444	food	sundae	0.422222222	45
coconut	coconut	76840.90909	food	coconut	0.435876623	44
scallion	scallion	67243.90244	food	scallion	0.228658537	41
mustard	mustard	66930.23255999999	food	mustard	0.294435216	43
peppermint	peppermint	75000.0	food	peppermint	0.128246753	44
breakfast	breakfast	73466.66666999999	food	breakfast	0.556666667	45
jam	jam	76069.76744000001	food	jam	0.293604651	43
spareribs	spareribs	72355.55556	food	spareribs	0.506746032	45
tortellini	tortellini	67933.33333	food	tortellini	0.452777778	45
string cheese	string_cheese	70909.09091	food	string cheese	0.537012987	44
kiwi	kiwi	57704.54545	food	kiwi	0.414366883	44
hash	hash	67700.0	food	hash	0.275714286	40
goat	goat	61413.04348	food	goat	0.116459627	46
pizza	pizza	75744.18604999999	food	pizza	0.810215947	43
french fries	french_fries	85418.60465000001	food	french fries	0.777131783	43
catfish	catfish	74818.18182000001	food	catfish	0.346590909	44
licorice	licorice	73613.63636	food	licorice	0.268262987	44
grits	grits	76142.85714000001	food	grits	0.373809524	42
asparagus	asparagus	65826.08696	food	asparagus	0.461956522	46
sugar cube	sugar_cube	79326.08696	food	sugar cube	0.100931677	46
egg	egg	87133.33333	food	egg	0.744444444	45
cheese	cheese	66428.57143000001	food	cheese	0.702380952	42
cracker	cracker	76347.82609	food	cracker	0.651785714	46
macaroni	macaroni	83047.61905	food	macaroni	0.70989229	42
cucumber	cucumber	64622.22222	food	cucumber	0.549074074	45
eclair	eclair	97450.0	food	eclair	0.251339286	40
basil	basil	107139.5349	food	basil	0.157115172	43
casserole	casserole	84333.33333000001	food	casserole	0.602777778	45
meatball	meatball	69888.88889	food	meatball	0.708333333	45
stew	stew	92695.65217	food	stew	0.575698758	46
pear	pear	71644.44444	food	pear	0.527777778	45
wedding cake	wedding_cake	79808.51064	food	wedding cake	0.263677812	47
papaya	papaya	62975.60976	food	papaya	0.269337979	41
fruitcake	fruitcake	79386.36364	food	fruitcake	0.233522727	44
turkey	turkey	79977.77778	food	turkey	0.715079365	45
pancake	pancake	73666.66666999999	food	pancake	0.738715278	48
roll	roll	68558.13953	food	roll	0.555232558	43
guacamole	guacamole	61613.63636	food	guacamole	0.488230519	44
onion	onion	73536.58537	food	onion	0.461236934	41
cordon bleu	cordon_bleu	70190.47619	food	cordon bleu	0.229166667	42
scrambled egg	scrambled_egg	93295.45455	food	scrambled egg	0.721103896	44
lamb chop	lamb_chop	60595.74468	food	lamb chop	0.558890578	47
pastry	pastry	75808.51064	food	pastry	0.526595745	47
peanut	peanut	64543.47826	food	peanut	0.51242236	46
okra	okra	82577.77778	food	okra	0.24021164	45
sauce	sauce	94777.77778	food	sauce	0.286507937	45
gum	gum	88933.33333	food	gum	0.120767196	45
cupcake	cupcake	73930.23255999999	food	cupcake	0.60166113	43
cake	cake	77170.21277000001	food	cake	0.718693009	47
blueberry	blueberry	92071.42857	food	blueberry	0.539285714	42
almond	almond	79227.27273	food	almond	0.480844156	44
pumpkin	pumpkin	68958.33333000001	food	pumpkin	0.315600198	48
pepper	pepper1	103750.0	food	pepper (seasoning)	0.224431818	44
fruit	fruit	62200.0	food	fruit	0.713125	40
muffin	muffin	65695.65217	food	muffin	0.61878882	46
meatloaf	meatloaf	78239.13043	food	meatloaf	0.659549689	46
pie	pie	79909.09091	food	pie	0.597808442	44
banana split	banana_split	64673.91304	food	banana split	0.366071429	46
buffet	buffet	76083.33333000001	food	buffet	0.291071429	48
apple	apple	81446.80851	food	apple	0.752279635	47
pepperoni	pepperoni	110270.8333	food	pepperoni	0.553943452	48
applesauce	applesauce	86478.26087	food	applesauce	0.61568323	46
jelly bean	jelly_bean	66000.0	food	jelly bean	0.281746032	45
cornbread	cornbread	91909.09091	food	cornbread	0.554383117	44
caviar	caviar	92772.72727	food	caviar	0.252840909	44
cheeseburger	cheeseburger	86844.44444	food	cheeseburger	0.83531746	45
sushi	sushi	88644.44444	food	sushi	0.582142857	45
nacho	nacho	85173.91304	food	nacho	0.550465839	46
crepe	crepe	67608.69565	food	crepe	0.401397516	46
popcorn	popcorn	71866.66667	food	popcorn	0.559047619	45
goose	goose	83431.81817999999	food	goose	0.125405844	44
bacon	bacon	73500.0	food	bacon	0.766304348	46
chickpea	chickpea	109255.814	food	chickpea	0.309108527	43
mushroom	mushroom	91191.48936	food	mushroom	0.508738602	47
crab	crab	78869.56522	food	crab	0.466485507	46
fudge	fudge	79956.52174	food	fudge	0.386413043	46
bologna	bologna	84372.09302	food	bologna	0.551356589	43
pretzel	pretzel	75130.43478	food	pretzel	0.568322981	46
quesadilla	quesadilla	64175.0	food	quesadilla	0.627529762	40
banana	banana	72000.0	food	banana	0.691326531	42
dumpling	dumpling	66065.21739	food	dumpling	0.486024845	46
shrimp	shrimp	72733.33333	food	shrimp	0.484074074	45
peach	peach	73068.18182000001	food	peach	0.569399351	44
cream cheese	cream_cheese	78395.34883999999	food	cream cheese	0.441860465	43
pesto	pesto	76826.08696	food	pesto	0.243012422	46
spinach	spinach	80659.09091	food	spinach	0.580357143	44
raisin	raisin	82767.44186	food	raisin	0.375	43
ketchup	ketchup	66133.33333	food	ketchup	0.285582011	45
wafer	wafer	67952.38095	food	wafer	0.181547619	42
lime	lime	76595.74467999999	food	lime	0.331914894	47
blackberry	blackberry	80069.76744000001	food	blackberry	0.359634551	43
squid	squid	65380.95238	food	squid	0.145833333	42
pistachio	pistachio	67045.45455000001	food	pistachio	0.301948052	44
popsicle	popsicle	80116.27907	food	popsicle	0.358388704	43
bread	bread	76200.0	food	bread	0.789285714	45
hamburger	hamburger	63088.88889	food	hamburger	0.823677249	45
chocolate	chocolate	76260.86957	food	chocolate	0.598990683	46
seafood	seafood	71652.17391	food	seafood	0.583152174	46
pea	pea	90304.34783	food	pea	0.497670807	46
egg roll	egg_roll	69738.09524000001	food	egg roll	0.527380952	42
pickle	pickle	55804.34783	food	pickle	0.497282609	46
gumball	gumball	90857.14286	food	gumball	0.160714286	42
mashed potato	mashed_potato	103212.766	food	mashed potato	0.741134752	47
grapefruit	grapefruit	60045.45455	food	grapefruit	0.44375	44
radish	radish	67978.7234	food	radish	0.28837386	47
seaweed	seaweed	87232.55814	food	seaweed	0.095930233	43
spam	spam	74911.11111	food	spam	0.266666667	45
fast food	fast_food	72162.7907	food	fast food	0.682724252	43
pineapple	pineapple	71063.82979	food	pineapple	0.560334347	47
mulberry	mulberry	84450.0	food	mulberry	0.134821429	40
rhubarb	rhubarb	72902.43902	food	rhubarb	0.233449477	41
cabbage	cabbage	72065.21739	food	cabbage	0.513586957	46
sorbet	sorbet	66326.08696	food	sorbet	0.288043478	46
lollipop	lollipop	77181.81817999999	food	lollipop	0.303571429	44
wheat	wheat	77000.0	food	wheat	0.281746032	42
crayfish	crayfish	68062.5	food	crayfish	0.211681548	48
birthday cake	birthday_cake	50105.26316	food	birthday cake	0.487938596	38
cashew	cashew	98400.0	food	cashew	0.388492063	45
artichoke	artichoke	87510.63829999999	food	artichoke	0.333586626	47
garlic	garlic	63734.69388	food	garlic	0.349125364	49
tamale	tamale	101571.4286	food	tamale	0.461309524	42
calamari	calamari	66820.51282	food	calamari	0.319230769	39
sardine	sardine	96659.09091	food	sardine	0.226461039	44
pasta	pasta	86065.21739	food	pasta	0.78113354	46
honey	honey	71934.78261	food	honey	0.305512422	46
macadamia	macadamia	79974.35897	food	macadamia	0.184065934	39
creme brulee	creme_brulee	63837.2093	food	creme brulee	0.230481728	43
patty	patty	82066.66667	food	patty	0.41521164	45
snack	snack	65617.02128	food	snack	0.468085106	47
croissant	croissant	63466.66667	food	croissant	0.532936508	45
gumdrop	gumdrop	75224.4898	food	gumdrop	0.137755102	49
yolk	yolk	86318.18182000001	food	yolk	0.195616883	44
ham	ham	69761.90475999999	food	ham	0.7111678	42
wrap	wrap	68957.44681	food	wrap	0.501139818	47
ready meal	ready_meal	69523.80952	food	ready meal	0.3125	42
broccoli	broccoli	74000.0	food	broccoli	0.653769841	42
candy	candy	86954.54544999999	food	candy	0.399621212	44
chicken	chicken1	72588.23529	food	chicken (food)	0.832107843	34
sandwich	sandwich	62244.89796	food	sandwich	0.802113703	49
taco	taco	77568.18182000001	food	taco	0.760795455	44
waffle	waffle	68065.21739	food	waffle	0.650621118	46
ice cream	ice_cream	65214.28571	food	ice cream	0.571825397	42
bagel	bagel	96300.0	food	bagel	0.662410714	40
eggplant	eggplant	80525.0	food	eggplant	0.397321429	40
clove	clove	82386.36364	food	clove	0.094155844	44
taffy	taffy	93755.55556	food	taffy	0.181746032	45
spaghetti	spaghetti	82386.36364	food	spaghetti	0.765692641	44
lemon	lemon	70608.69565	food	lemon	0.379528986	46
mint	mint	64625.0	food	mint	0.164434524	48
gyro	gyro	109690.4762	food	gyro	0.401785714	42
tomato sauce	tomato_sauce	70162.7907	food	tomato sauce	0.332641196	43
pudding	pudding	90468.08511	food	pudding	0.441869301	47
orange	orange	74934.78261	food	orange	0.642468944	46
swordfish	swordfish	80510.63829999999	food	swordfish	0.225430598	47
crumb	crumb	60682.92683	food	crumb	0.152874564	41
ravioli	ravioli	70022.72727	food	ravioli	0.638392857	44
easter egg	easter_egg	80520.83333000001	food	easter egg	0.114583333	48
cookie	cookie	67595.74467999999	food	cookie	0.696048632	47
corn	corn	71066.66667	food	corn	0.643650794	45
tiramisu	tiramisu	82452.38095	food	tiramisu	0.242346939	42
lasagna	lasagna	66073.17073	food	lasagna	0.707491289	41
lobster	lobster	86872.34043	food	lobster	0.563703141	47
whipped cream	whipped_cream	70162.7907	food	whipped cream	0.263704319	43
donut	donut	69727.27273	food	donut	0.659090909	44
chive	chive	95558.13953	food	chive	0.203903654	43
cake mix	cake_mix	73173.91304	food	cake mix	0.276785714	46
bun	bun	84404.7619	food	bun	0.51547619	42
salad	salad	80000.0	food	salad	0.760481366	46
olive	olive	85434.78261	food	olive	0.363483437	46
leek	leek	72186.04651	food	leek	0.245016611	43
sausage	sausage	66465.11628	food	sausage	0.694767442	43
plum	plum	105829.7872	food	plum	0.391843972	47
prune	prune	66857.14285999999	food	prune	0.257653061	42
eel	eel	70250.0	food	eel	0.128472222	36
spring roll	spring_roll	79086.95652	food	spring roll	0.438224638	46
gingerbread man	gingerbread_man	79913.04348	food	gingerbread man	0.198369565	46
lamb	lamb	93333.33333	food	lamb	0.427083333	48
fig	fig	68510.63829999999	food	fig	0.221884498	47
celery	celery	68085.10638	food	celery	0.499113475	47
chips	chips	103181.8182	food	chips	0.661931818	44
cheesecake	cheesecake	85434.78261	food	cheesecake	0.565864389	46
dip	dip	82348.83721	food	dip	0.321566999	43
rice	rice	75652.17391	food	rice	0.733307453	46
carrot	carrot	63844.44444	food	carrot	0.652910053	45
cornmeal	cornmeal	76642.85714000001	food	cornmeal	0.25	42
candy bar	candy_bar	74720.93023	food	candy bar	0.51486711	43
fish	fish	102302.3256	food	fish	0.66486711	43
tostada	tostada	70400.0	food	tostada	0.393253968	45
marmalade	marmalade	76222.22222000001	food	marmalade	0.175	45
stuffing	stuffing	71136.36364	food	stuffing	0.508252165	44
quiche	quiche	71743.58974000001	food	quiche	0.387362637	39
sauerkraut	sauerkraut	74255.31915000001	food	sauerkraut	0.269756839	47
enchilada	enchilada	62195.65217	food	enchilada	0.552018634	46
nut	nut	63808.51064	food	nut	0.448328267	47
soup	soup	77953.48837	food	soup	0.723006645	43
syrup	syrup	60977.27273	food	syrup	0.207386364	44
star fruit	star_fruit	61222.22222	food	star fruit	0.118253968	45
squash	squash	78777.77777999999	food	squash	0.439417989	45
cotton candy	cotton_candy	93622.22222	food	cotton candy	0.317698413	45
potato	potato	74302.32558	food	potato	0.73654485	43
bell pepper	bell_pepper	89130.43478	food	bell pepper	0.492494824	46
appetizer	appetizer	93454.54545	food	appetizer	0.459821429	44
omelet	omelet	68382.97872	food	omelet	0.696808511	47
cherry	cherry	102204.5455	food	cherry	0.481737013	44
flan	flan	80418.60465000001	food	flan	0.218023256	43
maple syrup	maple_syrup	64000.0	food	maple syrup	0.258042328	45
bok choy	bok_choy	69720.93023	food	bok choy	0.160299003	43
cantaloupe	cantaloupe	79340.90909	food	cantaloupe	0.446969697	44
oyster	oyster	74068.18182000001	food	oyster	0.355384199	44
oatmeal	oatmeal	61152.173910000005	food	oatmeal	0.63134058	46
curry	curry	62155.55556	food	curry	0.350396825	45
coleslaw	coleslaw	72533.33333000001	food	coleslaw	0.484259259	45
octopus	octopus	62844.44444	food	octopus	0.113888889	45
caramel	caramel	62674.418600000005	food	caramel	0.282392027	43
cereal	cereal	70653.06122	food	cereal	0.736880466	49
stir fry	stir_fry	67268.29268	food	stir fry	0.481707317	41
cauliflower	cauliflower	71391.30435	food	cauliflower	0.463509317	46
cilantro	cilantro	59769.23077	food	cilantro	0.181471306	39
shortbread	shortbread	61642.85714	food	shortbread	0.425170068	42
pepper	pepper2	68936.17021	food	pepper (vegetable)	0.475683891	47
grape	grape	84021.73913	food	grape	0.583462733	46
peanut butter	peanut_butter	55409.090910000006	food	peanut butter	0.619128788	44
ginger	ginger	69765.95745	food	ginger	0.145390071	47
berry	berry	67187.5	food	berry	0.515625	48
melon	melon	62347.82609	food	melon	0.555383023	46
pecan	pecan	78190.47619	food	pecan	0.326530612	42
flour	flour	78272.72727	food	flour	0.232007576	44
grain	grain	83260.86957	food	grain	0.317028986	46
marshmallow	marshmallow	91760.86957	food	marshmallow	0.392468944	46
mousse	mousse	92790.69767	food	mousse	0.189922481	43
kebab	kebab	69239.13043	food	kebab	0.388586957	46
parsley	parsley	75765.95745	food	parsley	0.141337386	47
hummus	hummus	86195.65217	food	hummus	0.380693582	46
bean	bean	60627.90698	food	bean	0.579734219	43
souffle	souffle	67711.11111	food	souffle	0.291666667	45
burrito	burrito	67090.90909	food	burrito	0.701704545	44
tomato	tomato	67024.39024000001	food	tomato	0.604355401	41
scallop	scallop	66155.55556	food	scallop	0.355555556	45
dessert	dessert	83047.61905	food	dessert	0.529620181	42
tortilla	tortilla	69809.52381	food	tortilla	0.503968254	42
piecrust	piecrust	80395.34883999999	food	piecrust	0.219269103	43
brussels sprouts	brussels_sprouts	72688.88889	food	brussels sprouts	0.435582011	45
pomegranate	pomegranate	97488.88889	food	pomegranate	0.265740741	45
poppy	poppy	75133.33333	food	poppy	0.037037037	45
fondue	fondue	77157.89474	food	fondue	0.259868421	38
baklava	baklava	73325.0	food	baklava	0.171875	40
coffee bean	coffee_bean	64695.65217	food	coffee bean	0.10002588	46
zucchini	zucchini	58155.55556	food	zucchini	0.466666667	45
yogurt	yogurt	83785.71429	food	yogurt	0.583333333	42
cinnamon	cinnamon	60391.30435	food	cinnamon	0.205615942	46
sweet potato	sweet_potato	85938.77550999999	food	sweet potato	0.565597668	49
calzone	calzone	76978.26087	food	calzone	0.523162526	46
steak	steak	71250.0	food	steak	0.791666667	40
salami	salami	67844.44444	food	salami	0.578703704	45
parfait	parfait	59428.57143	food	parfait	0.357142857	42
cranberry	cranberry	65066.666670000006	food	cranberry	0.393650794	45
raspberry	raspberry	74214.28571	food	raspberry	0.482142857	42
gravy	gravy	71863.63636	food	gravy	0.338068182	44
crouton	crouton	88444.44443999999	food	crouton	0.297619048	45
candy cane	candy_cane	82682.92683	food	candy cane	0.241434379	41
watermelon	watermelon	78928.57143000001	food	watermelon	0.598214286	42
noodle	noodle	63357.14286	food	noodle	0.593112245	42
saffron	saffron	105736.8421	food	saffron	0.076597744	38
biscuit	biscuit	77190.47619	food	biscuit	0.612670068	42
pig	pig	79390.2439	food	pig	0.207317073	41
beet	beet	90933.33333	food	beet	0.28968254	45
brownie	brownie	61244.44444	food	brownie	0.542857143	45
potpie	potpie	60733.33333	food	potpie	0.611904762	45
meat	meat	69933.33333	food	meat	0.770899471	45
hotdog	hotdog	70217.3913	food	hotdog	0.812111801	46
arugula	arugula	69216.21622	food	arugula	0.236969112	37
scone	scone	68931.81817999999	food	scone	0.397727273	44
clam	clam	79568.18182000001	food	clam	0.258522727	44
ice-cream cone	ice-cream_cone	78260.86957	food	ice-cream cone	0.465838509	46
dough	dough	85860.46512	food	dough	0.274916944	43
mussel	mussel	87422.22222	food	mussel	0.230555556	45
chili	chili	94809.52381	food	chili	0.633928571	42
jalapeno	jalapeno	66645.83333000001	food	jalapeno	0.324776786	48
apron	apron	77347.82609	clothing	apron	0.414208075	46
uniform	uniform	66813.95349	clothing	uniform	0.58845515	43
bow	bow1	77342.10526	clothing	bow (knot)	0.272086466	38
bowtie	bowtie	79022.72727	clothing	bowtie	0.428165584	44
top hat	top_hat	69650.0	clothing	top hat	0.330803571	40
suit	suit	61326.08696	clothing	suit	0.701733954	46
snowsuit	snowsuit	69326.08696	clothing	snowsuit	0.359730849	46
snowshoe	snowshoe	68227.27273	clothing	snowshoe	0.112554113	44
shirt	shirt	76731.70732	clothing	shirt	0.835075494	41
boxer shorts	boxer_shorts	68869.56522	clothing	boxer shorts	0.587085921	46
bracelet	bracelet1	65914.89362	clothing	bracelet (watch)	0.291413374	47
turtleneck	turtleneck	67288.88889	clothing	turtleneck	0.587724868	45
cummerbund	cummerbund	62153.84615	clothing	cummerbund	0.198717949	39
wetsuit	wetsuit	66255.31915000001	clothing	wetsuit	0.18943769	47
life jacket	life_jacket	71000.0	clothing	life jacket	0.16486711	43
sweater	sweater	62425.53191	clothing	sweater	0.783941236	47
underwear	underwear	66791.66666999999	clothing	underwear	0.729464286	48
leotard	leotard	64227.27273	clothing	leotard	0.366477273	44
tuxedo	tuxedo	71659.09091	clothing	tuxedo	0.482954545	44
headband	headband	107095.2381	clothing	headband	0.403061224	42
glove	glove	75976.74419000001	clothing	glove	0.464784053	43
bathrobe	bathrobe	72829.78722999999	clothing	bathrobe	0.504685917	47
tiara	tiara	77142.85714000001	clothing	tiara	0.1055839	42
dress	dress	62955.55556	clothing	dress	0.78505291	45
polo shirt	polo_shirt	90895.83333	clothing	polo shirt	0.684275794	48
turban	turban	89695.65217	clothing	turban	0.229684265	46
costume	costume	80456.52174	clothing	costume	0.392986542	46
bulletproof vest	bulletproof_vest	66608.69565	clothing	bulletproof vest	0.080357143	46
hoodie	hoodie	80651.16279	clothing	hoodie	0.784246955	43
sweatsuit	sweatsuit	72266.66667	clothing	sweatsuit	0.668253968	45
pantsuit	pantsuit	64048.78049	clothing	pantsuit	0.613675958	41
hat	hat	101045.4545	clothing	hat	0.526650433	44
fur coat	fur_coat	76977.27273	clothing	fur coat	0.45211039	44
diaper	diaper	78558.13953	clothing	diaper	0.165143965	43
clothes	clothes	78333.33333000001	clothing	clothes	0.73452381	45
coverall	coverall	105906.9767	clothing	coverall	0.492801772	43
vest	vest	74976.74419000001	clothing	vest	0.612126246	43
slipper	slipper	90212.76596	clothing	slipper	0.376519757	47
bonnet	bonnet	73652.17391	clothing	bonnet	0.235507246	46
boa	boa	76025.0	clothing	boa	0.156696429	40
spacesuit	spacesuit	72795.45455000001	clothing	spacesuit	0.068587662	44
armor	armor	71177.77778	clothing	armor	0.089444444	45
jersey	jersey	93750.0	clothing	jersey	0.602430556	48
panties	panties	87933.33333	clothing	panties	0.567460317	45
pantyhose	pantyhose	70309.52381	clothing	pantyhose	0.424036281	42
bowler hat	bowler_hat	79600.0	clothing	bowler hat	0.230357143	40
shoe	shoe	62933.33333	clothing	shoe	0.521164021	45
stiletto	stiletto	71772.72727	clothing	stiletto	0.192099567	44
fishnet stockings	fishnet_stockings	75631.57895000001	clothing	fishnet stockings	0.27443609	38
coat	coat	65173.91304	clothing	coat	0.736801242	46
ski boots	ski_boots	75238.09524000001	clothing	ski boots	0.215986395	42
mitten	mitten	72931.81817999999	clothing	mitten	0.418695887	44
muff	muff	67419.35484	clothing	muff	0.14516129	31
blouse	blouse	73365.85366	clothing	blouse	0.719512195	41
leggings	leggings	68121.95122	clothing	leggings	0.680749129	41
beanie	beanie	92765.95745	clothing	beanie	0.38449848	47
sock	sock	75413.04348	clothing	sock	0.647127329	46
stockings	stockings	67478.26087	clothing	stockings	0.458850932	46
eye patch	eye_patch	72227.27273	clothing	eye patch	0.093344156	44
scarf	scarf	95302.32558	clothing	scarf	0.576910299	43
jacket	jacket	85977.27273	clothing	jacket	0.737824675	44
bra	bra	97906.97674	clothing	bra	0.606727575	43
headscarf	headscarf	76066.66667	clothing	headscarf	0.342063492	45
garter	garter	82325.0	clothing	garter	0.191964286	40
pajamas	pajamas	83146.34146	clothing	pajamas	0.668118467	41
skirt	skirt	70125.0	clothing	skirt	0.709697421	48
suspenders	suspenders	68085.10638	clothing	suspenders	0.32674772	47
straightjacket	straightjacket	96046.51163	clothing	straightjacket	0.053156146	43
kimono	kimono	66704.54544999999	clothing	kimono	0.280519481	44
overalls	overalls	88130.43478	clothing	overalls	0.536102484	46
headdress	headdress	67925.0	clothing	headdress	0.16875	40
sombrero	sombrero	80933.33333	clothing	sombrero	0.247751323	45
outfit	outfit	81906.97674	clothing	outfit	0.669296788	43
jumpsuit	jumpsuit	98319.14894	clothing	jumpsuit	0.471757852	47
