targetWord,answerWord,wordPairing,orig_img_img,iso_img_img,orig_img_txt,iso_img_txt
acorn,coconut,hard,0.7617883682250977,0.8036084175109863,0.2676478922367096,0.30706173181533813
acorn,key,easy,0.6152092218399048,0.6262973546981812,0.17939485609531403,0.1783413141965866
acorn,clothesline,distal,0.5092061161994934,0.5662289261817932,0.15912403166294098,0.15330520272254944
aloe,cactus,hard,0.8110363483428955,0.7874063849449158,0.27850449085235596,0.2744040787220001
aloe,bracket,easy,0.6113296151161194,0.6800998449325562,0.16703379154205322,0.16967147588729858
aloe,banner,distal,0.36720412969589233,0.4430512487888336,0.1439191699028015,0.1725199669599533
antenna,stem,hard,0.6118447780609131,0.8164368271827698,0.1977052241563797,0.2507783770561218
antenna,pinecone,easy,0.5982574224472046,0.6870303750038147,0.20188479125499725,0.21063680946826935
antenna,backgammon,distal,0.5160692930221558,0.7202741503715515,0.19033227860927582,0.21911610662937164
artichoke,leek,hard,0.6768536567687988,0.7298474311828613,0.2500268816947937,0.2953590750694275
artichoke,sunroof,easy,0.48944732546806335,0.5360610485076904,0.19203586876392365,0.18196624517440796
artichoke,cello,distal,0.4574241042137146,0.5317350625991821,0.16484251618385315,0.16476266086101532
bamboo,lumber,hard,0.7149578332901001,0.6796101331710815,0.2323324978351593,0.22623604536056519
bamboo,yacht,easy,0.5286178588867188,0.5654245018959045,0.1676056683063507,0.16645954549312592
bamboo,apron,distal,0.5380440950393677,0.6200152635574341,0.1907804012298584,0.19624033570289612
barrel,bucket,hard,0.6510897278785706,0.7502814531326294,0.2376314103603363,0.25750452280044556
barrel,shelf,easy,0.581943929195404,0.6507670879364014,0.21304669976234436,0.2133660763502121
barrel,anteater,distal,0.5510249733924866,0.6283800601959229,0.22930297255516052,0.22014735639095306
blender,blind,hard,0.5459783673286438,0.5623440742492676,0.20573167502880096,0.24829384684562683
blender,mailbox,easy,0.5588889122009277,0.6387556791305542,0.2003694772720337,0.22794359922409058
blender,trampoline,distal,0.5828338861465454,0.5803268551826477,0.189000204205513,0.19215361773967743
blower,burner,hard,0.5497835874557495,0.6681967377662659,0.2309827208518982,0.23075799643993378
blower,buggy,easy,0.5610885620117188,0.6386253833770752,0.22209376096725464,0.24645520746707916
blower,papaya,distal,0.5036214590072632,0.5486149191856384,0.1662423461675644,0.1716306507587433
bobsled,sidecar,hard,0.5903598070144653,0.7679586410522461,0.2547988295555115,0.2940097153186798
bobsled,dip,easy,0.4126432240009308,0.51578688621521,0.17816363275051117,0.1954576075077057
bobsled,cilantro,distal,0.4513062834739685,0.65935218334198,0.1681119054555893,0.23470266163349152
bouquet,centerpiece,hard,0.603338360786438,0.6744242906570435,0.20097899436950684,0.19106003642082214
bouquet,bandanna,easy,0.5710936784744263,0.757160484790802,0.17645029723644257,0.18832284212112427
bouquet,submarine,distal,0.42142215371131897,0.5931668281555176,0.13988593220710754,0.13879172503948212
buffet,counter,hard,0.5804787278175354,0.5494096875190735,0.21372246742248535,0.21372246742248535
buffet,crib,easy,0.45383360981941223,0.6018187999725342,0.18337680399417877,0.20538955926895142
buffet,rhubarb,distal,0.6297221183776855,0.7882674932479858,0.21296679973602295,0.20529145002365112
bulldozer,tractor,hard,0.690727949142456,0.8112672567367554,0.21543993055820465,0.22810815274715424
bulldozer,orange,easy,0.50734943151474,0.6135847568511963,0.19782328605651855,0.2151416391134262
bulldozer,eggplant,distal,0.5103245377540588,0.5863447785377502,0.16387420892715454,0.18944786489009857
cake,dessert,hard,0.7867377996444702,0.7977140545845032,0.2081453949213028,0.21562865376472473
cake,refrigerator,easy,0.5568900108337402,0.5720096826553345,0.19499516487121582,0.19499516487121582
cake,battery,distal,0.44704386591911316,0.5475828647613525,0.16136600077152252,0.17315825819969177
candlestick,candle,hard,0.6212502717971802,0.6962642073631287,0.24431222677230835,0.24019885063171387
candlestick,egg,easy,0.6773841381072998,0.6289580464363098,0.18938134610652924,0.20159542560577393
candlestick,orangutan,distal,0.5187267065048218,0.5774090886116028,0.16086383163928986,0.18170064687728882
caramel,amber,hard,0.6906687617301941,0.6386675238609314,0.24617385864257812,0.2349456399679184
caramel,olive,easy,0.6405432820320129,0.6779267191886902,0.16548356413841248,0.1866724193096161
caramel,warthog,distal,0.5708123445510864,0.6038517951965332,0.1812058687210083,0.18468184769153595
carousel,carriage,hard,0.6829590201377869,0.6438068747520447,0.23334747552871704,0.24123229086399078
carousel,dish,easy,0.4890083968639374,0.4950162172317505,0.17177791893482208,0.1948619782924652
carousel,melon,distal,0.5078045129776001,0.46871837973594666,0.1532212346792221,0.15079966187477112
carrot,vegetable,hard,0.7828778624534607,0.7251856327056885,0.22195327281951904,0.21438449621200562
carrot,phone,easy,0.4963846206665039,0.5515158772468567,0.19151213765144348,0.18525612354278564
carrot,bathtub,distal,0.5260761976242065,0.554171621799469,0.16380102932453156,0.15604183077812195
cassette,tape,hard,0.6513580083847046,0.8011400699615479,0.2223680019378662,0.20775148272514343
cassette,book,easy,0.6313518285751343,0.7073990702629089,0.2009531706571579,0.2027302086353302
cassette,hammock,distal,0.5943949818611145,0.6802799701690674,0.17967230081558228,0.17607806622982025
cheese,butter,hard,0.8422471880912781,0.8366996049880981,0.2563079595565796,0.2724892199039459
cheese,mud,easy,0.44998958706855774,0.4580787420272827,0.19891779124736786,0.19891779124736786
cheese,hippopotamus,distal,0.49792665243148804,0.5954378843307495,0.1975499540567398,0.20520630478858948
cloak,hood,hard,0.6305884122848511,0.7642759680747986,0.24119365215301514,0.26919370889663696
cloak,cinnamon,easy,0.47256791591644287,0.5680679082870483,0.1771077662706375,0.19657307863235474
cloak,jellyfish,distal,0.5289673209190369,0.6076661944389343,0.21236170828342438,0.18790389597415924
clothespin,toothpick,hard,0.6968534588813782,0.7809731364250183,0.2673543691635132,0.2742924392223358
clothespin,volleyball,easy,0.5646800994873047,0.6353849768638611,0.1797574758529663,0.1696593314409256
clothespin,fondue,distal,0.65786212682724,0.7197569608688354,0.1736607402563095,0.16764786839485168
coaster,card,hard,0.5474697351455688,0.6734976768493652,0.2298976629972458,0.229792982339859
coaster,painting,easy,0.5071512460708618,0.6948540806770325,0.17402997612953186,0.18318507075309753
coaster,hummingbird,distal,0.4702267050743103,0.6013971567153931,0.21074342727661133,0.20249755680561066
cork,jersey,hard,0.473803848028183,0.5814829468727112,0.20030151307582855,0.2148546278476715
cork,skateboard,easy,0.6060369610786438,0.6519117951393127,0.22715166211128235,0.22417208552360535
cork,mascara,distal,0.6181538701057434,0.6704030632972717,0.21209073066711426,0.201446995139122
cornbread,corn,hard,0.6483666896820068,0.7130302786827087,0.25617775321006775,0.2726193964481354
cornbread,wreath,easy,0.5402852892875671,0.5744388699531555,0.18829159438610077,0.19045548141002655
cornbread,organ,distal,0.48143336176872253,0.5434377789497375,0.15054358541965485,0.17286990582942963
corset,harness,hard,0.5288415551185608,0.6425679326057434,0.20601928234100342,0.18546505272388458
corset,mantle,easy,0.606137752532959,0.7348113656044006,0.16425228118896484,0.15020418167114258
corset,bonsai,distal,0.6306216716766357,0.6747452020645142,0.13263066112995148,0.12513002753257751
cymbal,mallet,hard,0.4806561768054962,0.5543079376220703,0.2575784921646118,0.2462177574634552
cymbal,kaleidoscope,easy,0.367574006319046,0.4568752944469452,0.16621485352516174,0.22626367211341858
cymbal,ferry,distal,0.29784107208251953,0.39327383041381836,0.16102495789527893,0.1756094992160797
dumpling,meatball,hard,0.716124415397644,0.6443349719047546,0.21487094461917877,0.24287563562393188
dumpling,rocket,easy,0.41482460498809814,0.5692963600158691,0.17917928099632263,0.17917928099632263
dumpling,coyote,distal,0.4168111979961395,0.6463828086853027,0.17532886564731598,0.1913357377052307
elbow,arm,hard,0.8278010487556458,0.8043768405914307,0.21374908089637756,0.23594623804092407
elbow,bed,easy,0.5737065076828003,0.6920202970504761,0.20947426557540894,0.21817168593406677
elbow,gorilla,distal,0.6167879700660706,0.7365987300872803,0.20367588102817535,0.2079727053642273
fan,album,hard,0.440714955329895,0.6069607734680176,0.1810775101184845,0.20799969136714935
fan,boulder,easy,0.48717808723449707,0.6297770738601685,0.20213648676872253,0.22745460271835327
fan,chipmunk,distal,0.4870706796646118,0.6640963554382324,0.20151878893375397,0.21021106839179993
flan,fuse,hard,0.5015745162963867,0.5761207938194275,0.16204822063446045,0.15873414278030396
flan,amplifier,easy,0.43097448348999023,0.6492840051651001,0.17679426074028015,0.19153915345668793
flan,turnstile,distal,0.4824901819229126,0.627556324005127,0.1798534244298935,0.1783227026462555
foam,float,hard,0.5867268443107605,0.6521062850952148,0.2020663172006607,0.18780875205993652
foam,quilt,easy,0.6841561198234558,0.6704927086830139,0.19250209629535675,0.19250209629535675
foam,asparagus,distal,0.5805116891860962,0.5309638381004333,0.18045483529567719,0.1733095794916153
footbath,trough,hard,0.49011939764022827,0.6248601078987122,0.26234278082847595,0.223947212100029
footbath,vest,easy,0.5391814112663269,0.5480597019195557,0.14484980702400208,0.1579277664422989
footbath,rhinoceros,distal,0.49246108531951904,0.5851734280586243,0.17910851538181305,0.18013514578342438
fox,wolf,hard,0.7583620548248291,0.7915010452270508,0.2194734513759613,0.23778590559959412
fox,reindeer,easy,0.6760482788085938,0.7488179206848145,0.19394439458847046,0.21805104613304138
fox,harmonica,distal,0.4644967019557953,0.5145354270935059,0.16934917867183685,0.17284873127937317
freezer,cooler,hard,0.7824321985244751,0.9062942266464233,0.264677494764328,0.2477979063987732
freezer,nest,easy,0.48008131980895996,0.6038992404937744,0.17923936247825623,0.19369296729564667
freezer,binoculars,distal,0.5494818687438965,0.6738259196281433,0.16978314518928528,0.16975867748260498
fruitcake,fudge,hard,0.7035126686096191,0.7417852878570557,0.23818355798721313,0.23736196756362915
fruitcake,dough,easy,0.5960085391998291,0.6412086486816406,0.19767159223556519,0.20091043412685394
fruitcake,anvil,distal,0.5031557083129883,0.5778511762619019,0.18208558857440948,0.20307204127311707
gondola,trolley,hard,0.5317906141281128,0.5033587217330933,0.24321119487285614,0.26544389128685
gondola,clipboard,easy,0.4645009934902191,0.5688027143478394,0.1710910052061081,0.16367678344249725
gondola,charger,distal,0.4158509373664856,0.5402527451515198,0.15356609225273132,0.20660369098186493
grate,crate,hard,0.57704758644104,0.6108805537223816,0.20043157041072845,0.19670869410037994
grate,reel,easy,0.6736137866973877,0.6931660771369934,0.2439509481191635,0.21419191360473633
grate,tuba,distal,0.5976837873458862,0.6027282476425171,0.23559142649173737,0.21513499319553375
gutter,filter,hard,0.5822145938873291,0.7122198343276978,0.21376213431358337,0.20534402132034302
gutter,almond,easy,0.5343685150146484,0.6565287709236145,0.193437397480011,0.18773052096366882
gutter,porthole,distal,0.5633378624916077,0.5996642112731934,0.1995844841003418,0.20681989192962646
hamster,rabbit,hard,0.7589237689971924,0.8363869190216064,0.2182074934244156,0.23734150826931
hamster,tadpole,easy,0.5571890473365784,0.5871972441673279,0.18126234412193298,0.18126234412193298
hamster,skirt,distal,0.49883028864860535,0.5252608060836792,0.1831153780221939,0.17219772934913635
headdress,crown,hard,0.641569197177887,0.6035408973693848,0.23445001244544983,0.2368713617324829
headdress,poster,easy,0.48732441663742065,0.5253783464431763,0.1813962757587433,0.1813962757587433
headdress,mango,distal,0.5712931156158447,0.6218600869178772,0.22727081179618835,0.21516048908233643
hedgehog,owl,hard,0.7229882478713989,0.7725379467010498,0.22478432953357697,0.21651366353034973
hedgehog,iguana,easy,0.6923233866691589,0.7501012086868286,0.20842260122299194,0.21324115991592407
hedgehog,dumbwaiter,distal,0.4971296489238739,0.5316655039787292,0.2048463523387909,0.19421175122261047
hoe,peg,hard,0.5622509121894836,0.688571035861969,0.23061928153038025,0.21393680572509766
hoe,dustpan,easy,0.6456723809242249,0.7618383169174194,0.25327837467193604,0.2827514708042145
hoe,beaker,distal,0.5736179947853088,0.6577654480934143,0.20477280020713806,0.21000100672245026
hopscotch,chalk,hard,0.6464260816574097,0.7180541753768921,0.2100779116153717,0.21396255493164062
hopscotch,funnel,easy,0.5410507321357727,0.6793809533119202,0.19650942087173462,0.19862575829029083
hopscotch,jug,distal,0.5139341354370117,0.5317274332046509,0.1533324122428894,0.1581249237060547
horn,bone,hard,0.5905920267105103,0.7061301469802856,0.2319069802761078,0.24497397243976593
horn,chin,easy,0.5474250316619873,0.6563886404037476,0.2278679609298706,0.23834428191184998
horn,ladybug,distal,0.6546591520309448,0.6643738746643066,0.22336752712726593,0.22336752712726593
kimono,cardigan,hard,0.4824216365814209,0.6537392139434814,0.172023206949234,0.16623970866203308
kimono,turntable,easy,0.4776759743690491,0.5828444957733154,0.16181780397891998,0.1453089416027069
